line_id,name,code,colour,operator,network,mode
Line:relation:8134008,770: Nice - Valberg,770,blue,,Zou !,bus
Line:relation:8142941,750: Nice - Isola 2000,750,#00a651,,Lignes d'Azur,bus
Line:relation:8145199,Bus 46S,46S,#c1003b,Régie des Tranports Métropolitains,RTM,bus
Line:relation:8148762,746: La Bolline - Saint-Martin-Vésubie,746,#c71585,,Lignes d'Azur,bus
Line:relation:8149759,Ligne 4: St-Jean-de-Maurienne Gares <=> Montbrunal,4,,Trans-Alpes,Coeur de Maurienne Bus,bus
Line:relation:8150300,Ligne 1: Pré de la Garde => Combe Paillarde,1,,Trans-Alpes,Coeur de Maurienne Bus,bus
Line:relation:8150704,Ligne 2: Mendès France => Pont Stycsinsky,2,,Trans-Alpes,Coeur de Maurienne Bus,bus
Line:relation:8151185,731: Belvédère - Lantosque,731,#a0522d,,Lignes d'Azur,bus
Line:relation:8152405,733: Corniglion Molinier - Berthemont-les-Bains,733,#a0522d,,Lignes d'Azur,bus
Line:relation:8152446,730: Nice - Saint-Martin-Vésubie,730,#00a651,,Lignes d'Azur,bus
Line:relation:8153288,Ligne 5: Le Tilleret <=> Sécurité Sociale,5,,Trans-Alpes,Coeur de Maurienne Bus,bus
Line:relation:8154456,Ligne M4T: St-Jean-de-Maurienne <=> Fontcouverte <=> La Toussuire,M4T,,Trans-Alpes,Belle Savoie Express,bus
Line:relation:8155720,AnjouBus 17: Angers – Saumur,AnjouBus 17,#5fc088,,AnjouBus,bus
Line:relation:8155778,Raccordement de Belfort,852 306,,SNCF Réseau,,railway
Line:relation:8156398,Ligne Marché: Le Bochet <=> St Julien Montdenis <=> St Jean de Maurienne,Marché,,Trans-Alpes,Coeur de Maurienne Bus,bus
Line:relation:8156998,Ligne 3: Cathédrale <=> Péchiney,3,,,Coeur de Maurienne Bus,bus
Line:relation:8158455,TIC 4: Bois de Plaisance - Gare - Palais,4,#6243A4,Transports Intercommunaux du Compiégnois,TIC,bus
Line:relation:8165262,Bus J1 : Gare de Villeneuve-Saint-Georges (circulaire via Gare de Boissy-Saint-Léger),J1,,Transdev STRAV,STRAV,bus
Line:relation:8168171,Bus scolaire 410,410,,Région Nouvelle-Aquitaine,Transport scolaire,bus
Line:relation:8172061,Bus 114 : Gare d'Epinay-sur-Orge (circulaire) via Le Breuil,114,#007B74,Transdev CEAT,CEAT Nord Hurepoix,bus
Line:relation:8176101,Bus 14,14,#837B00,Limoges Métropole,TCL,bus
Line:relation:8182112,TIC D2,D2,,Transports Intercommunaux du Compiégnois,TIC,bus
Line:relation:8182176,TIC 4,4,#5E9732,Transports Intercommunaux du Compiégnois,TIC,bus
Line:relation:8182182,TIC 1,1,#5E9732,Transports Intercommunaux du Compiégnois,TIC,bus
Line:relation:8183016,Car 24,24,,Région Nouvelle-Aquitaine,Moovh 87,bus
Line:relation:8184117,Bus Express 16 : Cergy Préfecture Gare ↔ Gare de Saint-Quentin-en-Yvelines,16,,Transdev Île-de-France Montesson Les Rabaux,Transdev Île-de-France Montesson Les Rabaux,bus
Line:relation:8186420,40: Saint-Auban - Grasse,40,mediumturquoise,Sillages,Sillages,bus
Line:relation:8191000,Bus scolaire 417,417,,Région Nouvelle-Aquitaine,Transport scolaire,bus
Line:relation:8197107,AnjouBus 19: Angers – Faveraye-Mâchelles,AnjouBus 19,#fba61c,,AnjouBus,bus
Line:relation:8199699,Bus F4,F4,#EA660A,TCAR,Astuce,bus
Line:relation:8200157,16: Grasse - Pégomas,16,#ffa07a,Sillages,Sillages,bus
Line:relation:8209704,Bus 5: Thônex-Vallard — Aéroport,5,#00D2FF,TPG,TPG,bus
Line:relation:8209895,Ligne T3 : Gares <> Allonnes - Bois Joli,,,SETRAM,SETRAM,bus
Line:relation:8209896,Ligne T2 : Bellevue - Hauts de Coulaines <> Espal - Arche de la Nature,T2,,SETRAM,SETRAM,tram
Line:relation:8209897,Ligne T1 : Université <> Antarès - MMArena,T1,,SETRAM,SETRAM,tram
Line:relation:8211958,Ligne 26 : Saint-Joseph / Saint-Georges <> Allonnes,26,#009DA4,SETRAM,SETRAM,bus
Line:relation:8211959,Ligne 27 : Ruaudin <> Antarès - MMAréna,27,#FFEE00,SETRAM,SETRAM,bus
Line:relation:8212311,Ligne 33 : Chaufour-Notre-Dame / Trangé <> Université,33,#F785B6,SETRAM,SETRAM,bus
Line:relation:8212312,Ligne 35 : Gare Sud <> Tri postal,35,#F785B6,SETRAM,SETRAM,bus
Line:relation:8212313,Ligne 32 : Fay / Pruillé-Le-Chétif <> Gare Sud,32,#F785B6,SETRAM,SETRAM,bus
Line:relation:8212314,Ligne 34 : Saint-Georges-du-Bois <> Gare Sud,34,#F785B6,SETRAM,SETRAM,bus
Line:relation:8213898,Bus 48,48,#d9797a,Régie des Tranports Métropolitains,RTM,bus
Line:relation:8217843,500: Nice - Grasse,500,#4682b4,Keolis Alpes-Maritimes,Zou !,bus
Line:relation:8218451,Bus Inter-Vals : Hôpital Joffre (Draveil) ↔ Centre Hospitalier (Villeneuve-Saint-Georges),Inter-Vals,,Keolis Seine Sénart,Seine Sénart Bus,bus
Line:relation:8218466,Bus BM : Gare de Montgeron Crosne ↔ Valdoly (Montgeron),BM,,Keolis Seine Sénart,Seine Sénart Bus,bus
Line:relation:8219970,Car Ligne 54 Toulouse Gare routière - Buzet-sur-Tarn Cimetière,54,,RDT31,Réseau Arc-en-Ciel,bus
Line:relation:8221721,Bus scolaire 409,409,,Région Nouvelle-Aquitaine,Transport scolaire,bus
Line:relation:8227652,Bus 46,46,#c1003b,Régie des Tranports Métropolitains,RTM,bus
Line:relation:8228825,Bus 27 : Gare de Saint-Germain en Laye ↔ Gare de Cergy Préfecture,27,,Transdev Île-de-France Conflans,Mobilien 27,bus
Line:relation:8235464,TEC 7 Guignies/Rongy - Tournai,7,,TEC,TECH,bus
Line:relation:8235781,Ligne 5: Albertville <=> Cevins,5,,Transports Région Arlysère,Arlysère,bus
Line:relation:8238591,Ligne M4C: St-Jean-de-Maurienne <=> Le Corbier,M4C,,Trans-Alpes,Belle Savoie Express,bus
Line:relation:8239740,Ligne M5: St-Jean-de-Maurienne <=> Les Arves,M5,,Trans-Alpes,Belle Savoie Express,bus
Line:relation:8244525,Ligne M1: St-Avre <=> Saint-François-Longchamp,M1,,Faure Savoie,Belle Savoie Express,bus
Line:relation:8246742,Ligne de Longueau à Boulogne-Ville,311 000,,SNCF Reseau,,railway
Line:relation:8255661,Bus D,D,#A50235,TILT,TILT,bus
Line:relation:8255856,Bus E,E,#A50235,TILT,TILT,bus
Line:relation:8259312,Ligne M6: St-Jean-de-Maurienne <=> Albiez-Montrond,M6,,Trans-Alpes,Belle Savoie Express,bus
Line:relation:8259881,Bus 262 : Gare de Saint-Rémy-lès-Chevreuse ↔ Gare de Versailles-Château-Rive-Gauche,262,#e20613,SAVAC,SAVAC,bus
Line:relation:8264762,Bus 9B : Gare Marly le Roi (circulaire),9B,,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8264763,Bus 9AB : Gare de Marly-le-Roi → Bèque SNCF,9AB,Blue/Orange,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8264764,Bus 9A : Gare Marly le Roi (circulaire),9A,,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8264765,Bus 9D : Gare de Marly-le-Roi (circulaire),9D,,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8265453,Flixbus N814 London <=> Amsterdam,N814,,Flixbus,Flixbus,bus
Line:relation:8268039,Bus 18 : Bèque SNCF (circulaire via Le Port-Marly),18,,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8268259,Bus 18S : Jean Moulin ↔ Plains Champs,18S,,Transdev Île-de-France Montesson Les Rabaux,Entre Seine et Forêt,bus
Line:relation:8268452,Bus N1 : Terminal 2F (circulaire),N1,,Aéroports de Paris,ADP,bus
Line:relation:8268538,Bus N2 : Terminal 2 F ↔ Terminal 2 G,N2,,Aéroports de Paris,ADP,bus
Line:relation:8268622,Ligne M8: St-Michel-de-Maurienne <=> Valmeinier <=> Valloire,M8,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8268978,Bus DM21B : Gare de Savigny-sur-Orge (circulaire via François Mitterand),DM21B,,Transports Daniel Meyer,Daniel Meyer,bus
Line:relation:8268979,Bus DM21A : Gare de Savigny-sur-Orge (circulaire via Mairie),DM21A,,Transports Daniel Meyer,Daniel Meyer,bus
Line:relation:8280032,Ligne M10: Modane <=> La Norma,M10,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8280557,Ligne M12: Modane <=> Bonneval-sur-Arc,M12,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8281154,Ligne M9: Modane <=> Valfréjus,M9,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8281606,Bus F5,F5,#B1C903,TCAR,Astuce,bus
Line:relation:8281818,Ligne M11: Modane <=> Aussois <=> Sardières,M11,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8281888,2: Avignon - Orange,2,red,Voyages Arnaud,Zou !,bus
Line:relation:8281901,23: Orange - Sorgues,23,#4682b4,Voyages Arnaud,Zou !,bus
Line:relation:8281930,Bus 56C : Quimper ↔ Loctudy,56C,#E32B29,Transports Le Coeur,FR:Penn-ar-Bed,bus
Line:relation:8281968,Ligne T2: Moûtiers <=> Valmorel,T2,,Doucy Bus,Belle Savoie Express,bus
Line:relation:8285312,Bus 7 : Rond-Point des Sciences (Chelles) ↔ Gare de Chelles Gournay,7,#9bbb59,STBC,Apolo 7,bus
Line:relation:8285313,Bus 6 : Gare de Chelles Gournay ↔ Gare de Vaires Torcy,6,#d30000,STBC,Apolo 7,bus
Line:relation:8287384,Bus 4s : Cité Scolaire (Chelles) ↔ Mairie (Claye-Souilly),4s,#ff9a00,STBC,Apolo 7,bus
Line:relation:8291358,Ligne T9,T9,,Loyet,Belle Savoie Express,bus
Line:relation:8292017,Ligne T5: Moûtiers <=> Courchevel,T5,,Transdev Savoie,Belle Savoie Express,bus
Line:relation:8292786,5: Avignon - Carpentras,5,,VéoliaTransdev,Zou !,bus
Line:relation:8292921,Bus 24,24,,STCL,,bus
Line:relation:8293004,Ligne T1: Moûtiers <=> Doucy-Station,T1,,Doucy Bus,Belle Savoie Express,bus
Line:relation:8293113,Ligne T7 : Aime-la-Plagne - Montalbert,T7,,Loyet,Belle Savoie Express,bus
Line:relation:8297079,Bus 9 : Gare de Chelles Gournay (circulaire),9,,Transdev STBC,Apolo 7,bus
